Kecamatan,,,,,,
,Jumlah Penduduk menurut kecamatan (Jiwa),,,,,
,Laki-laki,,Perempuan,,Laki-laki dan Perempuan,
,2018,2019,2018,2019,2018,2019
Kembangan,162768,165904,164775,168211,327543,334115
Kebon Jeruk,188606,190843,189778,192325,378384,383168
Palmerah,105124,105506,100456,100847,205580,206353
Grogol Petamburan,116739,117386,123303,124178,240042,241564
Tambora,125634,125853,115805,116036,241439,241889
Taman Sari,54954,54964,55265,55288,110219,110252
Cengkareng,302039,306214,290468,294942,592507,601156
Kalideres,234789,238550,228859,232886,463648,471436
Jakarta Barat,1290653,1305220,1268709,1284713,2559362,2589933